item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
165,"Perno hex M8×12 guarda sur",5,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
166,"Perno hex M8×16 guarda norte↔bancada",4,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
167,"Perno hex M8×16 guía norte↔alma",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
168,"Perno hex M8×16 guía sur↔alma",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
169,"Perno hex M8×16 lengüeta",3,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
170,"Perno hex M8×16 puente",20,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
171,"Perno hex M8×16 travesaño",8,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
172,"Perno hex M8×20 base guía norte↔canto",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
173,"Perno hex M8×20 base guía sur↔canto",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
174,"Perno hex M8×20 ménsula↔bastidor",12,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
175,"Perno hex M8×20 placa escote↔chapón",4,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
176,"Perno hex M8×20 travesaño↔bastidor",4,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
177,"Perno hex M8×20 travesaño↔bastidor",4,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
178,"Perno hex M8×25 guarda −X↔chapón",3,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
179,"Perno hex M8×25 ménsula↔travesaño",10,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
180,"Perno hex M8×25 travesaño↔cabezal PG40 +X",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
181,"Perno hex M8×25 travesaño↔cabezal PG40 −X",2,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
182,"Perno hex M8×35 guarda +X↔chapón",3,FIJO,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
183,"PG40 · Golilla alargue +X Y -1145 Ø9.525",1,MÓVIL,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
184,"PG40 · Golilla alargue +X Y -802 Ø9.525",1,MÓVIL,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
185,"PG40 · Golilla alargue −X Y -1145 Ø9.525",1,MÓVIL,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
186,"PG40 · Golilla alargue −X Y -802 Ø9.525",1,MÓVIL,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
187,"PG40 · Golilla alargue −X Y -973.5 Ø9.525",1,MÓVIL,COMPRADA,"DIN 125 / ASME B18.22.1",—,"—","—","—","—","—"
188,"PG40 · Perno hex 3/8-16 × 25 · alargue +X Y -1145",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
189,"PG40 · Perno hex 3/8-16 × 25 · alargue +X Y -802",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
190,"PG40 · Perno hex 3/8-16 × 25 · alargue −X Y -1145",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
191,"PG40 · Perno hex 3/8-16 × 25 · alargue −X Y -802",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
192,"PG40 · Perno hex 3/8-16 × 25 · alargue −X Y -973.5",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
193,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -1400",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
194,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -1450",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
195,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -1500",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
196,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -160",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
197,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -260",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
198,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -360",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
199,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -450",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
200,"PG40 · Perno hex M10 × 45 · alargue↔chapón Y -540",1,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
201,"PG40 · Tope de guía M6",20,MÓVIL,COMPRADA,"componente de catálogo",—,"—","—","—","—","—"
202,"PG40 · Tuerca hex 3/8-16 · alargue +X Y -1145",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
203,"PG40 · Tuerca hex 3/8-16 · alargue +X Y -802",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
204,"PG40 · Tuerca hex 3/8-16 · alargue −X Y -1145",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
205,"PG40 · Tuerca hex 3/8-16 · alargue −X Y -802",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
206,"PG40 · Tuerca hex 3/8-16 · alargue −X Y -973.5",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
207,"PG40 · Tuerca hex M10 · alargue↔chapón Y -1400",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
208,"PG40 · Tuerca hex M10 · alargue↔chapón Y -1450",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
209,"PG40 · Tuerca hex M10 · alargue↔chapón Y -1500",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
210,"PG40 · Tuerca hex M10 · alargue↔chapón Y -160",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
211,"PG40 · Tuerca hex M10 · alargue↔chapón Y -260",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
212,"PG40 · Tuerca hex M10 · alargue↔chapón Y -360",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
213,"PG40 · Tuerca hex M10 · alargue↔chapón Y -450",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
214,"PG40 · Tuerca hex M10 · alargue↔chapón Y -540",1,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
215,"RETORNO RR1 · Anillo retención RETORNO RR1 Ø88.9 (+X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
216,"RETORNO RR1 · Anillo retención RETORNO RR1 Ø88.9 (−X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
217,"RETORNO RR1 · Perno hex M10 soporte RETORNO RR1 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
218,"RETORNO RR1 · Perno hex M10 soporte RETORNO RR1 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
219,"RETORNO RR1 · Rodamiento 6206-2RS (RETORNO RR1 Ø88.9, +X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
220,"RETORNO RR1 · Rodamiento 6206-2RS (RETORNO RR1 Ø88.9, −X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
221,"RETORNO RR1 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
222,"RETORNO RR1 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
223,"RETORNO RR2 · Anillo retención RETORNO RR2 Ø88.9 (+X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
224,"RETORNO RR2 · Anillo retención RETORNO RR2 Ø88.9 (−X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
225,"RETORNO RR2 · Perno hex M10 soporte RETORNO RR2 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
226,"RETORNO RR2 · Perno hex M10 soporte RETORNO RR2 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
227,"RETORNO RR2 · Rodamiento 6206-2RS (RETORNO RR2 Ø88.9, +X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
228,"RETORNO RR2 · Rodamiento 6206-2RS (RETORNO RR2 Ø88.9, −X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
229,"RETORNO RR2 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
230,"RETORNO RR2 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
231,"RETORNO RR3 · Anillo retención RETORNO RR3 Ø88.9 (+X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
232,"RETORNO RR3 · Anillo retención RETORNO RR3 Ø88.9 (−X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
233,"RETORNO RR3 · Perno hex M10 soporte RETORNO RR3 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
234,"RETORNO RR3 · Perno hex M10 soporte RETORNO RR3 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
235,"RETORNO RR3 · Rodamiento 6206-2RS (RETORNO RR3 Ø88.9, +X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
236,"RETORNO RR3 · Rodamiento 6206-2RS (RETORNO RR3 Ø88.9, −X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
237,"RETORNO RR3 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
238,"RETORNO RR3 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
239,"RETORNO RR4 · Anillo retención RETORNO RR4 Ø88.9 (+X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
240,"RETORNO RR4 · Anillo retención RETORNO RR4 Ø88.9 (−X) Ø30",1,MÓVIL,COMPRADA,"DIN 471 / ASME B27.7",—,"—","—","—","—","—"
241,"RETORNO RR4 · Perno hex M10 soporte RETORNO RR4 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
242,"RETORNO RR4 · Perno hex M10 soporte RETORNO RR4 Ø88.9",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
243,"RETORNO RR4 · Rodamiento 6206-2RS (RETORNO RR4 Ø88.9, +X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
244,"RETORNO RR4 · Rodamiento 6206-2RS (RETORNO RR4 Ø88.9, −X)",1,MÓVIL,COMPRADA,"rodamiento_30x62x16",—,"—","—","—","—","—"
245,"RETORNO RR4 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
246,"RETORNO RR4 Ø88.9 · collar de apriete partido Ø30",1,MÓVIL,COMPRADA,"DIN 705 A",—,"—","—","—","—","—"
247,"Rodamiento SKF W 6004-2Z tensora +X (calle 1, X=127.056)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
248,"Rodamiento SKF W 6004-2Z tensora +X (calle 2, X=203.256)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
249,"Rodamiento SKF W 6004-2Z tensora +X (calle 3, X=279.456)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
250,"Rodamiento SKF W 6004-2Z tensora +X (calle 4, X=355.656)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
251,"Rodamiento SKF W 6004-2Z tensora +X (calle 5, X=431.856)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
252,"Rodamiento SKF W 6004-2Z tensora −X (calle 1, X=127.056)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
253,"Rodamiento SKF W 6004-2Z tensora −X (calle 2, X=203.256)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
254,"Rodamiento SKF W 6004-2Z tensora −X (calle 3, X=279.456)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
255,"Rodamiento SKF W 6004-2Z tensora −X (calle 4, X=355.656)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
256,"Rodamiento SKF W 6004-2Z tensora −X (calle 5, X=431.856)",1,FIJO,COMPRADA,"rodamiento_20x42x12",—,"—","—","—","—","—"
257,"TAMBOR · chaveta DIN 6885 A 10 × 8 × 100",1,MÓVIL,COMPRADA,"DIN 6885 A",—,"—","—","—","—","—"
258,"TAMBOR · Perno hex M12×34 UCF 207",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
259,"TAMBOR · Perno hex M12×62 UCF 207",4,MÓVIL,COMPRADA,"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
260,"TAMBOR · Rodamiento UC207 del UCF 207 (+X)",1,MÓVIL,COMPRADA,"rodamiento_35x72x42.9",—,"—","—","—","—","—"
261,"TAMBOR · Rodamiento UC207 del UCF 207 (−X)",1,MÓVIL,COMPRADA,"rodamiento_35x72x42.9",—,"—","—","—","—","—"
262,"TAMBOR · Tuerca hex M12 UCF 207",4,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
263,"TAMBOR · Tuerca hex M12 UCF 207",4,MÓVIL,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
264,"TAMBOR · UCF 207 — unidad de brida cuadrada",2,MÓVIL,COMPRADA,"unidad de rodamiento de brida cuadrada de 4 tornillos, inserto UC207 con prisioneros (JIS B 1558 / ISO 9628)",—,"—","—","—","—","—"
265,"Tuerca hex 3/8-16 cuelgue",4,FIJO,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
266,"Tuerca hex M12 UCFL pivote +X",2,FIJO,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
267,"Tuerca hex M12 UCFL pivote −X",2,FIJO,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
268,"Tuerca hex M8 guía norte",2,FIJO,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
269,"Tuerca hex M8 guía sur",2,FIJO,COMPRADA,"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
270,"CTX · Acople LK30-C65-20H7-D30-R Ø65×99.5",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
271,"CTX · Anillo DIN 472-40 IDLER (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
272,"CTX · Anillo DIN 472-40 IDLER (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
273,"CTX · Bastidor FRAME_MIR_MIR",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
274,"CTX · Bastidor FRAME_MIR_MIR_MIR",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
275,"CTX · Chumacera SKF UCFL 205 del eje pivote",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","—","—","—","—"
276,"CTX · Cierre de guía 39.9×80×15.1 (protección, conducida)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
277,"CTX · Cierre de guía 39.9×80×15.1 (protección, motriz)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
278,"CTX · Drive kit — perfil UA-T02 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
279,"CTX · Drive kit — perfil UA-T02 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
280,"CTX · Drive kit — soporte P1-1 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
281,"CTX · Drive kit — soporte P1-1 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
282,"CTX · Drive kit — soporte P1-2 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
283,"CTX · Drive kit — soporte P1-2 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
284,"CTX · Ensamble motor UniDrive",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
285,"CTX · Espaciador IDLER-E Ø23.5×6.63",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
286,"CTX · FRONT TOP2",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
287,"CTX · FRONT TOP2_MIR",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
288,"CTX · IDLER-ENS — perfil UA-T02 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
289,"CTX · IDLER-ENS — perfil UA-T02 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
290,"CTX · IDLER-ENS — placa UR-P01 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
291,"CTX · IDLER-ENS — placa UR-P01 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
292,"CTX · IDLER-ENS — placa UR-P03 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
293,"CTX · IDLER-ENS — placa UR-P03 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" (12 GA), galvanizada",—,"—","—","—","—","—"
294,"CTX · IDLER-ENS — riel UR-P02 (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
295,"CTX · IDLER-ENS — riel UR-P02 (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
296,"CTX · LAT TOP",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
297,"CTX · Motorreductor principal 314759014",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
298,"CTX · Perno hex M8×65 horquilla IDLER",10,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 / DIN 933",—,"—","—","—","—","—"
299,"CTX · POL-COND-TEN2 (reenvío alto)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
300,"CTX · POL-COND-TEN2 (reenvío bajo)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
301,"CTX · Polea loca IDLER-P01 Ø92.4×40 bombeada (posición interior medida)",5,MÓVIL,CONTEXTO (no se fabrica),"Aluminio 6061-T6 (o acero mecanizado)",—,"—","—","—","—","—"
302,"CTX · Rodamiento 6203-2RS IDLER (+X) (calle 1, X=127.056)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
303,"CTX · Rodamiento 6203-2RS IDLER (+X) (calle 2, X=203.256)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
304,"CTX · Rodamiento 6203-2RS IDLER (+X) (calle 3, X=279.456)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
305,"CTX · Rodamiento 6203-2RS IDLER (+X) (calle 4, X=355.656)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
306,"CTX · Rodamiento 6203-2RS IDLER (+X) (calle 5, X=431.856)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
307,"CTX · Rodamiento 6203-2RS IDLER (−X) (calle 1, X=127.056)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
308,"CTX · Rodamiento 6203-2RS IDLER (−X) (calle 2, X=203.256)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
309,"CTX · Rodamiento 6203-2RS IDLER (−X) (calle 3, X=279.456)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
310,"CTX · Rodamiento 6203-2RS IDLER (−X) (calle 4, X=355.656)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
311,"CTX · Rodamiento 6203-2RS IDLER (−X) (calle 5, X=431.856)",1,MÓVIL,CONTEXTO (no se fabrica),"rodamiento_17x40x12",—,"—","—","—","—","—"
312,"CTX · Separador Ø19×18 del bulón KJ10D (+X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono mecanizado",—,"—","—","—","—","—"
313,"CTX · Separador Ø19×18 del bulón KJ10D (−X)",5,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono mecanizado",—,"—","—","—","—","—"
314,"CTX · TER1_MIR/CAN0_MIR",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
315,"CTX · TER1/CAN0",1,MÓVIL,CONTEXTO (no se fabrica),"Acero al carbono",—,"—","—","—","—","—"
316,"CTX · Tuerca hex M8 ISO 8673 horquilla",10,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.2 / DIN 934",—,"—","—","—","—","—"
317,"NBT90 · FIJO · Canal base en U 76×38 12 GA × 446.5",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4-+Y-pos lengueta/posicion · U4-+Y-paso lengueta/paso · U4--Y-pos lengueta/posicion · U4--Y-paso lengueta/paso","—"
318,"NBT90 · FIJO · Canal de montaje del cilindro 3/16"" 234×103×442.3",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"" conformada, galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U5-+Y tope/tope · U5--Y tope/tope","—"
319,"NBT90 · FIJO · Golilla 1/4"" soporte de válvula (X=296, Y=-182) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
320,"NBT90 · FIJO · Golilla 1/4"" soporte de válvula (X=332, Y=-182) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
321,"NBT90 · FIJO · Golilla 3/8"" de colisa (X=141.5, Y=+228.57) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
322,"NBT90 · FIJO · Golilla 3/8"" de colisa (X=141.5, Y=−228.57) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
323,"NBT90 · FIJO · Golilla 3/8"" de colisa (X=321.5, Y=+228.57) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
324,"NBT90 · FIJO · Golilla 3/8"" de colisa (X=321.5, Y=−228.57) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
325,"NBT90 · FIJO · Golilla Canal base -Y X32 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
