item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
47,"NEUMÁTICA · Cilindro MGPM80-10Z — vástago del émbolo Ø25",1,MÓVIL,COMPRADA,"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
48,"Polea de retorno banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-35,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
49,"Polea de retorno banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-36,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
50,"Polea loca banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-37,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
51,"Polea loca banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-38,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
52,"Polea loca banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-39,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
53,"Polea loca banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5 TAKE-UP IDLER",1,MÓVIL,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",NBT90-40,"tol. gral. ISO 2768-fH · Ø34,925 (1-3/8"") N7 · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto)) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
54,"Rodillo de retorno B-20760 Ø1.9"" × 425.45",1,FIJO,COMPRADA,"Rodillo de retorno galvanizado Ø1.9"", rodamientos ABEC-1 · Hytrol B-20760 (Specify BR −1-1/4)",—,"tubo de acero galvanizado 1.9"" × 0,065"" de pared","—","—","—","—"
55,"Rueda motriz banda plana Ø2-1/2""×1.772""",1,MÓVIL,COMPRADA,"Rueda motriz de banda plana Ø2-1/2"" × 1,772"", barreno Ø45 H8 · Hytrol 024.15502",—,"llanta abombada 0,4 mm; el barreno recibe el buje sin chaveta","—","—","—","—"
56,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
57,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
58,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
59,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
60,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
61,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
62,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
63,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
64,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
65,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
66,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
67,"Tapa-soporte de extremo Ø25.93/Ø22 × 24",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
68,"Tapa-soporte de rodillo de retorno Ø44.96/Ø28.58 × 14",1,FIJO,COMPRADA,"Componente del conjunto Hytrol B-20760 «1.9 in. OD Galv Return Roller — ABEC-1» (no se suministra suelto)",—,"eje 1/2"" estirado en frío con hilo interior 1/4-20 ED&T; tapas y casquillos mecanizados","—","—","—","—"
69,"Tapa-soporte de rodillo de retorno Ø44.96/Ø28.58 × 14",1,FIJO,COMPRADA,"Componente del conjunto Hytrol B-20760 «1.9 in. OD Galv Return Roller — ABEC-1» (no se suministra suelto)",—,"eje 1/2"" estirado en frío con hilo interior 1/4-20 ED&T; tapas y casquillos mecanizados","—","—","—","—"
70,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
71,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
72,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
73,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
74,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
75,"Tubo de rodillo Ø28.93 × 375",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
76,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
77,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
78,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
79,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
80,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
81,"Vulcanizado negro e=3 → Ø34.93 × 316.3",1,MÓVIL,COMPRADA,"Conjunto de rodillo vulcanizado Ø1-3/8"" · Hytrol SA-036881 «VULCANIZED 138 ROLLER ASSEMBLY»",—,"tubo de acero 16 GA con cubierta vulcanizada; eje con hilo interior 1/4-20 (end drilled & tapped)","—","—","—","—"
82,"Anillo retención eje polea (Y=-144.5) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
83,"Anillo retención eje polea (Y=-152.4) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
84,"Anillo retención eje polea (Y=-76.2) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
85,"Anillo retención eje polea (Y=144.5) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
86,"Anillo retención eje polea (Y=152.4) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
87,"Anillo retención eje polea (Y=76.2) Ø15.875",1,MÓVIL,COMPRADA,"ASME B27.7 — anillo de retención exterior serie 5100, referencia 5100-062 (eje 0,625"")",—,"acero SAE 1060-1090, e = 0,035"" (0,89 mm)","—","—","—","fosfatado"
88,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
89,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
90,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
91,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
92,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
93,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
94,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
95,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
96,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
97,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
98,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
99,"Anillo retención interior DIN 472 Ø35",1,MÓVIL,COMPRADA,"DIN 472 — anillo de retención interior Ø35 × 1,5 para alojamiento",—,"acero para muelles C67S, ranura Ø37,0 H12 × 1,6","—","—","—","fosfatado"
100,"Banda plana FLEXPROOF sin fin 1""×2.5 — serpentín L=3043.56",1,MÓVIL,COMPRADA,"Banda de transmisión sin fin de 1"" de ancho, empalme Flexproof · Hytrol 069.722xx",—,"poliéster/uretano, 2 telas, e = 2,5 mm; Ø mínimo de polea 1,0""","—","—","—","—"
101,"Buje sin chaveta 20 mm ID × 45 mm OD",1,MÓVIL,COMPRADA,"Buje cónico sin chaveta 20 mm ID × 45 mm OD — Hytrol 099.128420",—,"fabricante elegido y citado: Fenner Drives Trantorque GT ref. 6202811 (d 20, D 45,0, L 22,2, par de apriete 170 N·m, par transmisible 290 N·m, Ø mínimo de cubo 55,7 mm)","—","—","—","zincado claro RoHS"
102,"Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=+124.76) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
103,"Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=−124.76) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
104,"Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=+124.76) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
105,"Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=−124.76) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
106,"Golilla 1/4"" soporte de válvula (X=296, Y=-182) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
107,"Golilla 1/4"" soporte de válvula (X=332, Y=-182) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
108,"Golilla 3/8"" bajo cabeza (+Y, X=134) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
109,"Golilla 3/8"" bajo cabeza (+Y, X=162) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
110,"Golilla 3/8"" bajo cabeza (−Y, X=134) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
111,"Golilla 3/8"" bajo cabeza (−Y, X=162) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
112,"Golilla 3/8"" de colisa (X=141.5, Y=+228.57) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
113,"Golilla 3/8"" de colisa (X=141.5, Y=−228.57) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
114,"Golilla 3/8"" de colisa (X=321.5, Y=+228.57) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
115,"Golilla 3/8"" de colisa (X=321.5, Y=−228.57) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
116,"Golilla 3/8"" jack bolt (X=115.75, Y=+247.4) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
117,"Golilla 3/8"" jack bolt (X=115.75, Y=−247.4) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
118,"Golilla 3/8"" jack bolt (X=347.25, Y=+247.4) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
119,"Golilla 3/8"" jack bolt (X=347.25, Y=−247.4) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
120,"Golilla Canal base -Y X32 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
121,"Golilla Canal base -Y X32 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
122,"Golilla Canal base -Y X95 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
123,"Golilla Canal base -Y X95 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
124,"Golilla Canal base +Y X32 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
125,"Golilla Canal base +Y X32 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
126,"Golilla Canal base +Y X95 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
127,"Golilla Canal base +Y X95 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
128,"Golilla Guarda Y-150 Z196 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
129,"Golilla Guarda Y-150 Z196 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
130,"Golilla Guarda Y-150 Z284 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
131,"Golilla Guarda Y-150 Z284 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
132,"Golilla Guarda Y150 Z196 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
133,"Golilla Guarda Y150 Z196 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
134,"Golilla Guarda Y150 Z284 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
135,"Golilla Guarda Y150 Z284 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
